model,mean_outer_auc,mean_outer_accuracy,mean_inner_auc,mean_inner_accuracy,aggregate_auc,aggregate_accuracy,aggregate_balanced_accuracy,aggregate_precision,aggregate_recall,aggregate_f1,aggregate_mcc
BayesianRidge,0.719516129032258,0.7549361207897792,0.7023237313849962,0.7548084553783998,0.7023353084698502,0.7548076923076923,0.5580922504937841,0.75,0.9933774834437086,0.8547008547008547,0.2694722863621233
ElasticNet,0.7104382535027696,0.7646922183507548,0.7017413263065437,0.7572108794459274,0.6964098989194841,0.7644230769230769,0.5810967816893227,0.7602040816326531,0.9867549668874173,0.8587896253602305,0.31027076615737265
Lasso,0.7167399804496579,0.7549361207897792,0.7031462849842296,0.7560060601688189,0.6958289764145463,0.7548076923076923,0.5635529220401998,0.7525252525252525,0.9867549668874173,0.8538681948424068,0.2650079028971744
XGBoost,0.7081704138155751,0.7739837398373982,0.7083510999321276,0.7788471250270543,0.6784013012664111,0.7740384615384616,0.625943999070524,0.782608695652174,0.9536423841059603,0.8597014925373134,0.3516566576711776
SVM,0.6815395894428153,0.7063879210220675,0.6716466043837587,0.7415626578168963,0.6686418031834553,0.7067307692307693,0.5304403392587429,0.7393617021276596,0.9205298013245033,0.8200589970501475,0.09211099274724843
CatBoost,0.6970951449983709,0.7835075493612079,0.7059591967101848,0.7776567347233244,0.667363773672592,0.7836538461538461,0.6271058440803996,0.7819148936170213,0.9735099337748344,0.8672566371681416,0.3846161300209534
RandomForest,0.6753567937438906,0.7498257839721253,0.6936025272487724,0.7572036649592381,0.6554548623213664,0.75,0.5657023353084698,0.7538461538461538,0.9735099337748344,0.8497109826589595,0.24212950914402592
GBDT,0.6854675790159661,0.783623693379791,0.7073287220026351,0.789683284034341,0.6550482165679098,0.7836538461538461,0.6434878587196468,0.7912087912087912,0.9536423841059603,0.8648648648648649,0.3870336126807157
ExtraTrees,0.6650830889540568,0.7306620209059232,0.660112688146285,0.7487555010461006,0.6343673753921226,0.7307692307692307,0.5360752875566399,0.7411167512690355,0.9668874172185431,0.8390804597701149,0.1437925028280847
KNN,0.5802704463994786,0.7114982578397213,0.5835175869365592,0.739167448236058,0.5755780178924131,0.7115384615384616,0.5119089113512257,0.7309644670050761,0.9536423841059603,0.8275862068965517,0.04746773442795067
